"Submission ID","Respondent ID","Submitted at","ID Usuario","Sexo","Edad","Ocupación","Experiencia en TIC","Relación","Caso evaluado","Visión","1 Creo que me gustará visitar con frecuencia este website","2 Encontré el website innecesariamente complejo","3 Pensé que era fácil utilizar este website","4 Creo que necesitaría del apoyo de un experto para recorrer el website","5 Encontré las funciones del website bastante bien integradas","6 Pensé que había demasiada inconsistencia en el website","7 Imagino que la mayoría de las personas aprenderían muy rápidamente a utilizar el website","8 Encontré el website muy grande al recorrerlo","9 Me sentí muy confiado en el manejo del website","10 Necesito aprender muchas cosas antes de manejarse en el website","Apellidos"
"4a2x815","A7jxAQe","2026-05-28 17:53:45","Sujeto 2","Hombre","20","Estudiante","Alta","Amigo","A","Gafas y lentillas","5","2","4","1","5","1","4","2","4","1","wtra"
"9NdDdy5","A7jxAQe","2026-05-28 17:59:25","Sujeto 3","Hombre","19","Estudiante","Alta","Conocido","A","Sin gafas","5","1","4","1","5","1","4","2","4","1","womp"
"WJAoyWL","A7jxAQe","2026-05-29 10:16:43","5","Mujer","19","Estudiante","Media","Pareja","A","gafas","4","2","5","1","4","1","5","1","5","1",""
"X5eGZ7j","A7jxAQe","2026-05-29 10:20:59","9","Mujer","19","Estudiante","Media","Pareja","B","gafas","4","2","5","1","4","1","4","1","4","1",""
"NqALqbj","A7jxAQe","2026-05-29 13:39:18","10","Hombre","22","Estudiante","Alta","amigo","B","Gafas y lentillas","3","1","5","2","4","1","4","1","5","1",""
"bZlLqv6","A7jxAQe","2026-05-29 13:43:15","1","Hombre","22","Estudiante exitoso","Alta","Amigo","A","Gafas y lentillas","5","1","5","1","5","1","5","3","5","1",""
"EqPDp8q","WOjeaBP","2026-05-29 19:00:32","David","Hombre","22","Estudiante","Alta","Creador","B","Correcta","4","1","4","1","4","1","4","1","2","1",""
"laNWpEk","WOjeaBP","2026-05-29 19:02:10","Ares","Mujer","19","Estudiante","Media","Pareja","B","Gafas","4","1","4","1","4","1","4","1","4","1",""
"ArlDZxz","WOjeaBP","2026-05-29 19:04:02","Ares","Mujer","19","Estudiante","Media","Pareja","A","Gafas","4","2","4","1","4","1","4","1","3","1",""
"laN48Z5","A7jxAQe","2026-05-31 17:29:17","7","Hombre","21","Estudiante","Alta","Compañero","B","Sin gafas","4","1","5","1","4","1","4","1","3","1",""
